group_id,leader,member,modify_leader,image_url,label,canonical_leader,brand ,name ,package,promotion
235,7 day hazelnut croissant,7 day hazelnut croissant,,https://d1ralsognjng37.cloudfront.net/6c792bd8-aa90-41e5-bedb-9a9aa6e5336c.jpeg,TRUE,7 day hazelnut croissant,7 Days,hazelnut croissant,,0
240,7 day max croissant with hazelnut 80g,7 day croissant w hazelnut filling 60g,Yes,https://d1ralsognjng37.cloudfront.net/b4a7fdc1-8523-4bb3-bbb5-818b95c454aa.jpeg,FALSE,7 Days hazelnut croissant 60 g,7 Days,hazelnut croissant,60 g,0
240,7 day max croissant with hazelnut 80g,7 day croissant with hazelnut filling 80g,Yes,https://d1ralsognjng37.cloudfront.net/ee14f3f6-d699-403b-b629-62ed8bdaf977.jpeg,FALSE,7 Days hazelnut croissant 80 g,7 Days,hazelnut croissant,80 g,0
240,7 day max croissant with hazelnut 80g,7 day max croissant with hazelnut 80g,Yes,https://d1ralsognjng37.cloudfront.net/5b208dd5-9dc5-41ea-9c51-1fc7297cb5a5.jpeg,TRUE,7 Days Max hazelnut croissant 80 g,7 Days,Max hazelnut croissant,80 g,0
249,7 day strawberry croissant,7 day strawberry croissant,Yes,https://d1ralsognjng37.cloudfront.net/0663d292-970b-4a2b-a8a7-95c04de66025.jpeg,TRUE,7 Days strawberry croissant ,7 Days,strawberry croissant,,0
271,7days croissant cream cooky max 80 g,7 day choco croissant vanilla 60g,No,https://d1ralsognjng37.cloudfront.net/12f80a93-7819-47c3-ae38-054eaeefcb04.jpeg,FALSE,7 Days chocolate & vainilla croissant 60 g,7 Days,chocolate & vainilla croissant,60 g,0
271,7days croissant cream cooky max 80 g,7 day cream cooky max croissant 80g,No,https://tb-static.uber.com/prod/image-proc/processed_images/c8f7129c1845d1ad00fc23991bd5817d/b4facf495c22df52f3ca635379ebe613.jpeg,TRUE,7days croissant cream cooky max 80 g,7 Days,Max cookies & cream croissant,80 g,0
271,7days croissant cream cooky max 80 g,7 day croissant choc vanilla,No,https://d1ralsognjng37.cloudfront.net/bc1e0b61-ca53-474f-a9f9-dd611048062f.jpeg,FALSE,7 Days chocolate & vainilla croissant ,7 Days,chocolate & vainilla croissant,,0
271,7days croissant cream cooky max 80 g,7 day croissant choc vanilla 80g,No,https://d1ralsognjng37.cloudfront.net/99550d4a-49b7-42da-80c6-eafd96e6a817.jpeg,FALSE,7 Days chocolate & vainilla croissant 80 g,7 Days,chocolate & vainilla croissant,80 g,0
271,7days croissant cream cooky max 80 g,7 day croissant cooky max 80g,No,,TRUE,7days croissant cream cooky max 80 g,7 Days,Max cookies & cream croissant,80 g,0
271,7days croissant cream cooky max 80 g,7 day croissant double max 80g,No,,FALSE,7 Days Max double croissant 80 g,7 Days,Max double croissant,80 g,0
271,7days croissant cream cooky max 80 g,7 day croissant max 80g,No,,FALSE,7 Days Max croissant 80 g,7 Days,Max croissant,80 g,0
271,7days croissant cream cooky max 80 g,7 day croissant peanut max 80g,No,,FALSE,7 Days Max peanut croissant ,7 Days,Max peanut croissant,,0
271,7days croissant cream cooky max 80 g,7 day croissant vanilla and cocoa 110g,No,,FALSE,7 Days vainilla & cocoa croissant ,7 Days,vainilla & cocoa croissant,,0
271,7days croissant cream cooky max 80 g,7 day croissant vanilla and sour cherry 110g,No,,FALSE,7 Days vainilla & sour cherry croissant 110 g,7 Days,vainilla & sour cherry croissant,110 g,0
271,7days croissant cream cooky max 80 g,7 day croissant vanilla and sour cherry mini 185g,No,,FALSE,7 Days vainilla & sour cherry mini croissant 185 g,7 Days,vainilla & sour cherry mini croissant,185 g,0
271,7days croissant cream cooky max 80 g,7 day croissant vanilla cherry,No,https://d1ralsognjng37.cloudfront.net/09405a6e-df0f-46b2-8cc8-9c3f264d8ea2.jpeg,FALSE,7 Days vainilla & cherry croissant ,7 Days,vainilla & cherry croissant,,0
271,7days croissant cream cooky max 80 g,7 day croissant vanilla cherry 80g,No,https://d1ralsognjng37.cloudfront.net/ca812c62-6f3d-4690-a4d3-ce821c3b43a4.jpeg,FALSE,7 Days vainilla & cherry croissant 80 g,7 Days,vainilla & cherry croissant,80 g,0
271,7days croissant cream cooky max 80 g,7 day double coconut max 80g,No,,FALSE,7 Days Max double coconut croissant  80 g,7 Days,Max double coconut croissant ,80 g,0
271,7days croissant cream cooky max 80 g,7 day double max croissant,No,https://d1ralsognjng37.cloudfront.net/0db232aa-12ea-4045-959b-c529ece73b0e.jpeg,FALSE,7 Days Double Max cocoa & vainilla croissant ,7 Days,Double Max cocoa & vainilla croissant,,0
271,7days croissant cream cooky max 80 g,7 day max croissant choc,No,https://d1ralsognjng37.cloudfront.net/2278c751-a2c6-4ab3-b8a4-4e5e9ddf5185.jpeg,FALSE,7 Days Max chocolate croissant ,7 Days,Max chocolate croissant,,0
271,7days croissant cream cooky max 80 g,7 day max croissant choc 80g,No,https://d1ralsognjng37.cloudfront.net/2358f244-5b86-4c4b-8dc8-f349eda993a4.jpeg,FALSE,7 Days Max chocolate croissant 80 g,7 Days,Max chocolate croissant,80 g,0
271,7days croissant cream cooky max 80 g,7 day max croissant chocolate 80g,No,https://tb-static.uber.com/prod/image-proc/processed_images/f29a8b27f61dbf956adda8b81034a133/b4facf495c22df52f3ca635379ebe613.jpeg,FALSE,7 Days Max chocolate croissant 80 g,7 Days,Max chocolate croissant,80 g,0
271,7days croissant cream cooky max 80 g,7 day mini croissant vanilla andcherry,No,,FALSE,7 Days vainilla & cherry mini croissant ,7 Days,vainilla & cherry mini croissant,,0
277,7days mini croissant cocoa 185 g,7 day croissant with cocoa filling m 80g,No,https://tb-static.uber.com/prod/image-proc/processed_images/85d49907f18594e07bbef66f803cf1f8/b4facf495c22df52f3ca635379ebe613.jpeg,FALSE,7 Days Max cocoa croissant 80 g,7 Days,Max cocoa croissant,80 g,0
277,7days mini croissant cocoa 185 g,7 day double croissant with cocoa vanilla filling 80g,No,https://d1ralsognjng37.cloudfront.net/e4458f32-3a81-48a1-ab7a-9062b9b4b88b.jpeg,FALSE,7 Days Double Max cocoa & vainilla croissant 80 g,7 Days,Double Max cocoa & vainilla croissant,80 g,0
277,7days mini croissant cocoa 185 g,7 day double croissant with vanilla strawberry filling 80g,No,https://d1ralsognjng37.cloudfront.net/f7ec0324-b287-4e50-9d7b-5998e026a518.jpeg,FALSE,7 Days Double Max vainilla & strawberry croissant 80 g,7 Days,Double Max vainilla & strawberry croissant,80 g,0
277,7days mini croissant cocoa 185 g,7 day double max croissant with cocoa coconut filling 80g,No,https://d1ralsognjng37.cloudfront.net/ef7239ff-e745-4d22-b518-78195f9aced0.jpeg,FALSE,7 Days Double Max cocoa & coconut croissant 80 g,7 Days,Double Max cocoa & coconut croissant,80 g,0
277,7days mini croissant cocoa 185 g,7 day double mini croissant with cocoa vanilla filling 185g,No,https://d1ralsognjng37.cloudfront.net/21345171-f55c-4660-96a8-b3a3b414486f.jpeg,FALSE,7 Days Double Max cocoa & vainilla nmini croissant 185 g,7 Days,Double Max cocoa & vainilla nmini croissant,185 g,0
277,7days mini croissant cocoa 185 g,7 day double mini crossaints with sour cherry vanilla filling 185g,No,https://d1ralsognjng37.cloudfront.net/487e750e-9502-43f6-a813-92f62357dd92.jpeg,FALSE,7 Days Double Max sour cherry & vainilla nmini croissant 185 g,7 Days,Double Max sour cherry & vainilla nmini croissant,185 g,0
277,7days mini croissant cocoa 185 g,7 day mini croissant 180g,No,,FALSE,7 Days mini croissant 180 g,7 Days,mini croissant,180 g,0
277,7days mini croissant cocoa 185 g,7 day mini croissant 185 g,No,https://d1ralsognjng37.cloudfront.net/0388ff6b-8f64-48fe-a306-2456511c28d7.jpeg,FALSE,7 Days mini croissant 185 g,7 Days,mini croissant,185 g,0
277,7days mini croissant cocoa 185 g,7 day mini croissant 185g,No,,FALSE,7 Days mini croissant 185 g,7 Days,mini croissant,185 g,0
277,7days mini croissant cocoa 185 g,7 day mini croissant cocoa filling 185g,No,https://d1ralsognjng37.cloudfront.net/661df26c-e685-40c5-84e9-36c8a8c2515e.jpeg,TRUE,7days mini croissant cocoa 185 g,7 Days,cocoa mini croissant,185 g,0
277,7days mini croissant cocoa 185 g,7 day mini croissant cocoavanilla filling 185g,No,https://d1ralsognjng37.cloudfront.net/279851f0-9274-416d-bcef-379c593b0c78.jpeg,FALSE,7 Days cocoa & vainilla mini croissant 185 g,7 Days,cocoa & vainilla mini croissant,185 g,0
277,7days mini croissant cocoa 185 g,7 day mini croissant double 185g,No,,FALSE,7 Days Double Max croissant 185 g,7 Days,Double Max croissant,185 g,0
277,7days mini croissant cocoa 185 g,7 day mini croissant with cocoa cream filling 185g,No,https://d1ralsognjng37.cloudfront.net/31edf1ce-ad3b-4c6a-84dc-e649563f463d.jpeg,TRUE,7days mini croissant cocoa 185 g,7 Days,cocoa mini croissant,185 g,0
277,7days mini croissant cocoa 185 g,7days mini croissant with cocoa filling 185 gm,No,,TRUE,7days mini croissant cocoa 185 g,7 Days,cocoa mini croissant,185 g,0
278,7days vanillastrawberry croissant 80g,7days vanillastrawberry croissant 80g,Yes,https://d1ralsognjng37.cloudfront.net/4ea3b0af-cdd5-48ff-a6fc-1d79c88177e2.jpeg,TRUE,7 Days vainilla strawberry croissant 80 g,7 Days,vainilla strawberry croissant,80 g,0
288,7up can 330ml,7up can 330ml,Yes,https://d1ralsognjng37.cloudfront.net/1b5e938f-aa9f-46cb-b24f-4d6ea4ac4fa0.jpeg,TRUE,7 up soda 330 ml,7 up,soda,330 ml,0
290,7up cherry can 330ml,7up cherry can 330ml,Yes,https://d1ralsognjng37.cloudfront.net/64ae0920-973e-41b8-bebd-8f7a060e467f.jpeg,TRUE,7 up cherry soda 330 ml,7 up,cherry soda,330 ml,0
293,7up cocktail exotique can 330ml,7up cocktail exotique can 330ml,Yes,https://d1ralsognjng37.cloudfront.net/b427c733-aadd-4230-b81f-1f72ff9af752.jpeg,TRUE,7 up cocktail exotique soda 330 ml,7 up,cocktail exotique soda,330 ml,0
315,7up mojito can 330ml,7up mojito can 330ml,Yes,https://d1ralsognjng37.cloudfront.net/8e15d97e-965f-4c26-af65-b3d1bdea0e25.jpeg,TRUE,7 up mojito can soda 330 ml,7 up,mojito can soda,330 ml,0
328,7up regular,7up regular 2l,No,,FALSE,7 up regular soda 2 L,7 up,regular soda,2 L,0
328,7up regular,7up regular 2ltr,No,https://d1ralsognjng37.cloudfront.net/f074dd9b-df54-4364-a1de-b168af4ae554.jpeg,FALSE,7 up regular soda 2 L,7 up,regular soda,2 L,0
328,7up regular,7up regular eu 2l,No,https://d1ralsognjng37.cloudfront.net/b911e4f1-408d-48bb-9f11-25c7d9a00c8e.jpeg,FALSE,7 up regular soda 2 L,7 up,regular soda,2 L,0
330,7up saveur exotic cocktail.can eu 330ml,7up saveur exotic cocktail.can eu 330ml,Yes,https://d1ralsognjng37.cloudfront.net/bff5a202-4735-4790-8814-801e8c04f97e.jpeg,TRUE,7 up cocktail exotique soda 330 ml,7 up,cocktail exotique soda,330 ml,0
386,abs0lut blue vodka 70cl,abs0lut blue vodka 70cl,Yes,https://d1ralsognjng37.cloudfront.net/80edc37f-cb16-438b-a0fb-b9539c09a04d.jpeg,TRUE,Absolut blue vodka 700 ml,Absolut,blue vodka,700 ml,0
455,absolut blue 40 % dst,absolut blue 40 %,No,,TRUE,absolut blue 40 % dst,Absolut,blue vodka,,0
455,absolut blue 40 % dst,absolut blue 40 % 35cl,No,https://d1ralsognjng37.cloudfront.net/4477beb4-ce68-4689-82ee-eddceb93c7d6.jpeg,FALSE,Absolut blue vodka 350 ml,Absolut,blue vodka,350 ml,0
455,absolut blue 40 % dst,absolut blue 40 % dst 70cl,No,https://d1ralsognjng37.cloudfront.net/8408e1ca-997d-4f34-94eb-6c4157f963be.jpeg,FALSE,Absolut blue vodka 700 ml,Absolut,blue vodka,700 ml,0
455,absolut blue 40 % dst,absolute blue 40 % dst 70 cl,No,,FALSE,Absolut blue vodka 700 ml,Absolut,blue vodka,700 ml,0
399,absolut blue dst 70 cl,absolut blue dst 70 cl,Yes,,TRUE,Absolut blue vodka 700 ml,Absolut,blue vodka,700 ml,0
465,absolutvodka 70cl,absolutvodka 70cl,Yes,https://d1ralsognjng37.cloudfront.net/8dcd14d0-48db-4452-abe2-1768446e71f2.jpeg,TRUE,Absolut blue vodka 700 ml,Absolut,blue vodka,700 ml,0
502,adeletto prosecco 75 cl,adeletto prosecco 75 cl,Yes,https://d1ralsognjng37.cloudfront.net/5a78eb3f-4dd9-422a-bc3b-86ba670b0bc2.jpeg,TRUE,Adeletto Prosecco wine 750 ml,Adeletto,Prosecco wine,750 ml,0
546,aero giant block caramel 100g,aero giant block caramel 100g,Yes,https://d1ralsognjng37.cloudfront.net/1c0469cc-4509-4b0d-8876-073754a18436.jpeg,TRUE,Aero giant block caramwel chocolate bar 100 g,Aero,giant block caramwel chocolate bar,100 g,0
678,airhead watermelon,airhead watermelon,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/881ab7de7f0275856b8ed649d46873c3/5954bcb006b10dbfd0bc160f6370faf3.jpeg,TRUE,Airheads watermelon favoured candies ,Airheads,watermelon favoured candies,,0
679,airhead watermelon chewy candy 15.6g,airhead watermelon chewy candy 15.6g,Yes,https://d1ralsognjng37.cloudfront.net/dbf67d24-f79c-4ecc-8a46-e5cd37bdfdc7.jpeg,TRUE,Airheads watermelon chewy candies 15.6 g,Airheads,watermelon chewy candies,15.6 g,0
683,airhead xtremes sweetly sour candy belt 57g,airhead xtremes sweetly sour candy belt 57g,Yes,https://d1ralsognjng37.cloudfront.net/bd8cadd5-554b-46ed-9f46-cc14babebf4f.jpeg,TRUE,Airheads Xtremes sweetly sour candy ,Airheads,Xtremes sweetly sour candy,,0
10719,aloe original 1.5 l,aloe original 1.5 ltr,No,https://tb-static.uber.com/prod/image-proc/processed_images/0d7cbfab47b45d2d0e5d4999b98ee637/b4facf495c22df52f3ca635379ebe613.jpeg,TRUE,aloe original 1.5 l,Tropical Sun,premium aloe vera drink,1.5 L,0
10719,aloe original 1.5 l,coke original 1.5 litr,No,,FALSE,Coca-Cola original coke 1.5 L,Coca-Cola,original coke,1.5 L,0
950,alpro soya original 1l,alpro fresh original oat drink 1l,No,https://d1ralsognjng37.cloudfront.net/088659a9-8cb1-4e8f-b7e8-6fbb1ad57cb0.jpeg,FALSE,Alpro original oat drink 1 L,Alpro,original oat drink,1 L,0
950,alpro soya original 1l,alpro fresh original soya drink 1l,No,https://d1ralsognjng37.cloudfront.net/e55c973c-77bc-450e-8501-fd82339de91c.jpeg,TRUE,alpro soya original 1l,Alpro,original soy drink,1 L,0
950,alpro soya original 1l,alpro fresh soya original 1 l,No,https://d1ralsognjng37.cloudfront.net/d074e177-c830-4a81-a818-2c9d43d74c75.jpeg,TRUE,alpro soya original 1l,Alpro,original soy drink,1 L,0
950,alpro soya original 1l,alpro soya original 1 l,No,https://d1ralsognjng37.cloudfront.net/1bdc65df-7ec0-46b6-a240-6cc5bc3532e3.jpeg,TRUE,alpro soya original 1l,Alpro,original soy drink,1 L,0
960,alpro unsweetened almond milk 1 l,alpro fresh almond sweetened 1 l,No,https://d1ralsognjng37.cloudfront.net/66dfc272-640d-46b9-b357-ea359c0ce0bc.jpeg,FALSE,Alpro fresh sweetened almond milk 1 L,Alpro,fresh sweetened almond milk,1 L,0
960,alpro unsweetened almond milk 1 l,alpro fresh almond unsweetened 1 l,No,https://d1ralsognjng37.cloudfront.net/4653550b-2795-4732-bab0-b5189124ab93.jpeg,TRUE,alpro unsweetened almond milk 1 l,Alpro,fresh unsweetened almond milk,1 L,0
1023,always ultra 2 long,always ultra 2 long wing,No,https://tb-static.uber.com/prod/image-proc/processed_images/33164161a5e617722f54d40e7a09989b/b4facf495c22df52f3ca635379ebe613.jpeg,TRUE,always ultra 2 long,Always,Ultra long wing pad,12 units,0
1023,always ultra 2 long,always ultra no 2 long 12 pad,No,,TRUE,always ultra 2 long,Always,Ultra long wing pad,12 units,0
1010,always ultra night 10 pack,always ultra night 10,No,https://d1ralsognjng37.cloudfront.net/760c1288-5548-49b5-aa5f-6bab9bfcf788.jpeg,TRUE,always ultra night 10 pack,Always,Ultra night pad,10 pads,0
1010,always ultra night 10 pack,always ultra night 10 pk,No,https://d1ralsognjng37.cloudfront.net/760c1288-5548-49b5-aa5f-6bab9bfcf788.jpeg,TRUE,always ultra night 10 pack,Always,Ultra night pad,10 pads,0
1012,always ultra night 16 10 pack,always ultra night 16 10 pk,No,https://d1ralsognjng37.cloudfront.net/911fe09f-35c2-493c-8f3b-02649428f4e3.jpeg,FALSE,Always Ultra night pad 16 pack,Always,Ultra night pad,16 pack,0
1073,amber leaf 3 in 1 30 g,amber leaf 3 in 1 box 30g,No,,TRUE,amber leaf 3 in 1 30 g,Amber Leaf,3 in 1 rolling tobbaco,30 g,0
1073,amber leaf 3 in 1 30 g,amber leaf 3 in 1 crush proof box 30g,No,,FALSE,Amber Leaf 3 in 1 crush rolling tobbaco 30 g,Amber Leaf,3 in 1 crush rolling tobbaco,30 g,0
1073,amber leaf 3 in 1 30 g,amber leaf box 3 in 1 30g,No,,TRUE,amber leaf 3 in 1 30 g,Amber Leaf,3 in 1 rolling tobbaco,30 g,0
1073,amber leaf 3 in 1 30 g,amber leaf original 3 in 1 30g,No,,TRUE,amber leaf 3 in 1 30 g,Amber Leaf,3 in 1 rolling tobbaco,30 g,0
1073,amber leaf 3 in 1 30 g,amber leaf ryo 3 in 1 box 30g,No,,TRUE,amber leaf 3 in 1 30 g,Amber Leaf,3 in 1 rolling tobbaco,30 g,0
1076,amber leaf ryo t and t 30g pouch,amber leaf ryo t and t 30g pouch,Yes,,TRUE,Amber Leaf original rolling tobacco 30 g,Amber Leaf,original rolling tobacco,30 g,0
1132,american calypso 473ml ocean blue,american calypso 473ml ocean blue,Yes,https://d1ralsognjng37.cloudfront.net/c05f2bc2-0fe8-4488-b8d8-a0611ee1d5c1.jpeg,TRUE,American Calypso ocean blue lemonade 473 ml,American Calypso,ocean blue lemonade,473 ml,0
1133,american calypso 473ml pineapple peach limeade,american calypso 473ml pineapple peach limeade,Yes,https://d1ralsognjng37.cloudfront.net/b101e9fb-6400-4e74-976d-b50a80c4aa83.jpeg,TRUE,American Calypso pineapple peach limeade 473 ml,American Calypso,pineapple peach limeade,473 ml,0
16820,american fanta berry,fanta american berry,No,https://tb-static.uber.com/prod/image-proc/processed_images/84c9d54ac8cb1e1ca1167c7ecf2232f9/5954bcb006b10dbfd0bc160f6370faf3.jpeg,TRUE,american fanta berry,Fanta,american berry soda,,0
19799,american fanta grape,fanta american grape,No,https://tb-static.uber.com/prod/image-proc/processed_images/2fa147d358389484facf869f1a4847c8/5954bcb006b10dbfd0bc160f6370faf3.jpeg,TRUE,american fanta grape,Fanta,american grape soda,,0
19799,american fanta grape,grape fanta can,No,,FALSE,Fanta american grape soda ,Fanta,american grape soda,,0
1199,american pick n mix cup,american pick n mix cup,Yes,https://d1ralsognjng37.cloudfront.net/53be5ade-cf09-48a4-9d0a-506b3b5e89fb.jpeg,TRUE, american pick n mix cup ,,american pick n mix cup,,0
1214,american takis fuego,american takis fuego,Yes,,TRUE,Takis fuego crisps ,Takis,fuego crisps,,0
1230,amino ogorkow z koperkiem noodle,amino ogorkow z koperkiem noodle,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/d284bcc1d73e7da74a9fd58ce0f3926d/b4facf495c22df52f3ca635379ebe613.jpeg,TRUE,Amino noodle cucumber soup ,Amino,noodle cucumber soup,,0
1232,amino rosol noodle,amino rosol noodle,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/7d892558cbe5827e7e8ce05cee66cdf3/b4facf495c22df52f3ca635379ebe613.jpeg,TRUE,Amino chicken noodle soup ,Amino,chicken noodle soup,,0
1314,andrax skin kind toilet paper 4 roll,andrax skin kind toilet paper 4 roll,Yes,,TRUE,Andrex skin kind toilet paper 4 rolls,Andrex,skin kind toilet paper,4 rolls,0
1366,andrex classic 4 roll,andre x classic 4 roll,No,https://d1ralsognjng37.cloudfront.net/101f4885-6401-4302-b0af-279e303ad8ac.jpeg,TRUE,andrex classic 4 roll,Andrex,,4 rolls,0
1366,andrex classic 4 roll,andre x classic clean 4 roll,No,https://d1ralsognjng37.cloudfront.net/bb3ac1ff-9219-4732-8c7c-eaf10a63a220.jpeg,TRUE,andrex classic 4 roll,Andrex,Classic Clean toilet tissue,4 rolls,0
1366,andrex classic 4 roll,andrex clssic clean 4 roll,No,https://d1ralsognjng37.cloudfront.net/fe7573fd-a33d-43b0-b320-d14b82d2504f.jpeg,TRUE,andrex classic 4 roll,Andrex,Classic Clean toilet tissue,4 rolls,0
1366,andrex classic 4 roll,andrexclassic clean 2 roll,No,https://d1ralsognjng37.cloudfront.net/47f6f89c-3c75-4ec8-9f10-661d4afd2786.jpeg,FALSE,Andrex Classic Clean toilet tissue 2 rolls,Andrex,Classic Clean toilet tissue,2 rolls,0
1366,andrex classic 4 roll,andrexclassic clean 4 roll,No,https://d1ralsognjng37.cloudfront.net/59f2a7fe-1146-47e2-99c3-a62ce9ae35c0.jpeg,TRUE,andrex classic 4 roll,Andrex,Classic Clean toilet tissue,4 rolls,0
1366,andrex classic 4 roll,andrexclssic clean 4 roll,No,https://d1ralsognjng37.cloudfront.net/639d11b4-2494-460b-87fc-bad16f47a91d.jpeg,TRUE,andrex classic 4 roll,Andrex,Classic Clean toilet tissue,4 rolls,0
1366,andrex classic 4 roll,andrexclssic clean4 roll,No,https://d1ralsognjng37.cloudfront.net/86045786-200a-4e2c-935c-86ccf8a111f4.jpeg,TRUE,andrex classic 4 roll,Andrex,Classic Clean toilet tissue,4 rolls,0
1351,andrex supreme quilt tissue 4roll,andrex supreme quilt tissue 4roll,Yes,https://d1ralsognjng37.cloudfront.net/848c8e78-368f-4250-b60e-2e28e31aa397.jpeg,TRUE,Andrex supreme quilt tissue 4 rolls,Andrex,supreme quilt tissue,4 rolls,0
43579,andrex toilet tissue 4 roll,andreex tissue 4 roll,No,https://d1ralsognjng37.cloudfront.net/694b5781-06b0-42cc-a3b2-c4609cb873a7.jpeg,FALSE,Andrex Classic Clean toilet tissue 4 rolls,Andrex,Classic Clean toilet tissue,4 rolls,0
43579,andrex toilet tissue 4 roll,andrex classic clean white toilet tissue 4 roll,No,,TRUE,Andrex Classic Clean white toilet tissue 4 rolls,Andrex,Classic Clean white toilet tissue,4 rolls,0
43579,andrex toilet tissue 4 roll,andrex tissue 2 roll,No,https://d1ralsognjng37.cloudfront.net/cffac212-91d2-4704-b0e9-23970e1ef2ab.jpeg,FALSE,Andrex Classic Clean toilet tissue 2 rolls,Andrex,Classic Clean toilet tissue,2 rolls,0
43579,andrex toilet tissue 4 roll,andrex tissue 4 roll,No,https://d1ralsognjng37.cloudfront.net/438bfbaf-9ea6-448c-9f43-181acb5e8e0d.jpeg,TRUE,andrex toilet tissue 4 roll,Andrex,Classic Clean toilet tissue,4 rolls,0
43579,andrex toilet tissue 4 roll,andrexclassic clean toilet tissue 2 roll,No,https://d1ralsognjng37.cloudfront.net/863e5904-7dd4-43d4-a5e1-611231b36002.jpeg,FALSE,Andrex Classic Clean toilet tissue 2 rolls,Andrex,Classic Clean toilet tissue,2 rolls,0
43579,andrex toilet tissue 4 roll,andrextoilet tissue 2 roll,No,https://tb-static.uber.com/prod/image-proc/processed_images/943455e78c4d08f0aa1d8d78a99f3ea6/b4facf495c22df52f3ca635379ebe613.jpeg,FALSE,Andrex Classic Clean toilet tissue 2 rolls,Andrex,Classic Clean toilet tissue,2 rolls,0
43579,andrex toilet tissue 4 roll,andrextoilet tissue 9 roll,No,https://tb-static.uber.com/prod/image-proc/processed_images/9cf88ddd04730b93a6c5005e9c1b1e69/b4facf495c22df52f3ca635379ebe613.jpeg,FALSE,Andrex Classic White toilet tissue 9 rolls,Andrex,Classic White toilet tissue,9 rolls,0
43579,andrex toilet tissue 4 roll,andrx classic toilet tissue 4 roll,No,https://d1ralsognjng37.cloudfront.net/607c91b6-6389-4d7f-a813-5045456f572f.jpeg,FALSE,Andrex Classic Clean toilet tissue 4 rolls,Andrex,Classic Clean toilet tissue,4 rolls,0
43579,andrex toilet tissue 4 roll,andrx classic toilet tissue 9 roll,No,https://tb-static.uber.com/prod/image-proc/processed_images/e9ac37e8e6e8c8e41e0f0f17761e9a60/b4facf495c22df52f3ca635379ebe613.jpeg,FALSE,Andrex Classic Clean toilet tissue 9 rolls,Andrex,Classic Clean toilet tissue,9 rolls,0
43579,andrex toilet tissue 4 roll,best one toilet tissue 9 roll,No,https://tb-static.uber.com/prod/image-proc/processed_images/9be6063fa86542d8d083aacf85ba7560/b4facf495c22df52f3ca635379ebe613.jpeg,FALSE,Best One Soft classic white toilet tissue 9 rolls,Best One,Soft classic white toilet tissue,9 rolls,0
43579,andrex toilet tissue 4 roll,regina toilet tissue 4 roll,No,,FALSE,Regina toilet tissue 4 rolls,Regina,toilet tissue,4 rolls,0
1364,andrexclassic clean 4r  6 4 roll,andreex clssclean 4r  4 roll,Yes,https://d1ralsognjng37.cloudfront.net/22904bab-6f18-4396-a063-646cfb68eca2.jpeg,FALSE,Andrex classic clean toilet tissue 4 rolls,Andrex,classic clean toilet tissue,4 rolls,0
