group_id,leader,member,modify_leader,image_url,Image,label,canonical leader ,Brand,Name ,Package ,Promotion 
307,aero bubble milk choc bar,aero bubble milk choc bar,Yes,https://d1ralsognjng37.cloudfront.net/76d6bf34-d3c8-4490-87ad-f0ac676f098e.webp,,,aero milk chocolate bubble bar,Aero,Milk chocolate bubble bar,1 unit,0
343,aero mint,aero mint,No,https://d1ralsognjng37.cloudfront.net/7d755696-ddc0-4733-96fa-2cf0238c627d.jpeg,,,aero mint,Aero,Mint chocolate bar,1 unit,0
370,aero orange chocolate sharing bar 90 g,aero milk chocolate sharing bar 90g,No,https://tb-static.uber.com/prod/image-proc/processed_images/57577736baaba7a79f1dbe35bb5c44a9/859baff1d76042a45e319d1de80aec7a.jpeg,,,aero orange chocolate sharing bar 90 g,Aero,Orange chocolate bar,90 g,0
370,aero orange chocolate sharing bar 90 g,aero orange chocolate sharing bar 90g,No,https://tb-static.uber.com/prod/image-proc/processed_images/59587348d5f6532aa4896a587eb397d2/859baff1d76042a45e319d1de80aec7a.jpeg,,,aero orange chocolate sharing bar 90 g,Aero,Orange chocolate bar,90 g,0
370,aero orange chocolate sharing bar 90 g,aero peppermint mint chocolate sharing bar 90g,No,https://tb-static.uber.com/prod/image-proc/processed_images/5c58f0aa7395e1370d5b04e529501c34/859baff1d76042a45e319d1de80aec7a.jpeg,,,aero orange chocolate sharing bar 90 g,Aero,Orange chocolate bar,90 g,0
364,aero peppermint bubble,aero peppermint bubble bag,No,https://d1ralsognjng37.cloudfront.net/cfdbae56-c891-4c24-9580-cd9b53c580c9.jpeg,,,aero peppermint bubble,Aero,Peppermint bubbles,1 unit,0
364,aero peppermint bubble,aero peppermint bubble share bag,No,https://tb-static.uber.com/prod/image-proc/processed_images/4a12af5dc54903283eddf2e232b91046/859baff1d76042a45e319d1de80aec7a.jpeg,,,aero peppermint bubble,Aero,Peppermint bubbles,1 unit,0
366,aero peppermint mint chocolate,aero peppermint mint chocolate,Yes,https://d1ralsognjng37.cloudfront.net/0c5d4057-29b0-4e6f-a9be-3d66d469114e.jpeg,,,aero peppermint chocolate bar,Aero,Peppermint chocolate bar,1 unit,0
3570,all butter croissant,butter croissant,No,https://d1ralsognjng37.cloudfront.net/c2bbe1b1-dab3-4467-9b05-bf03fc2a0f00.jpeg,,,all butter croissant,,All butter croissaint,1 unit,0
494,all day breakfast deep fill sandwich,all day breakfast deep fill sandwich,Yes,https://d1ralsognjng37.cloudfront.net/adcafff8-494d-4081-8a63-8167d697faeb.jpeg,,,all day breakfast deep fill sandwich 1 unit,All Day Breakfast,Deep fill sandwich,1 unit,0
529,alpen muesli original 6 x 550g,alpen muesli original 6 x 550g,Yes,https://d1ralsognjng37.cloudfront.net/3407c8e1-7d5f-4feb-ade3-92f46cfaa7bd.jpeg,,,alpen muesli original 6 x 550 g,Alpen,Muesli original,6 x 550 g,0
665,always ultra normal sanitary towel wing 14 units,always ultra sanitary towel normal wing 14 pad,No,https://d1ralsognjng37.cloudfront.net/ffa3418e-faea-4b94-b7ff-55849cb21a40.jpeg,,,always ultra normal sanitary towel wing 14 units,Always,Ultra normal sanitary towel wing,14 units,0
777,american oven fry 1.8kg,american oven fry 1.8kg,Yes,https://d1ralsognjng37.cloudfront.net/ddfa44a6-d76e-47eb-8d23-8982a28f1ce8.jpeg,,,american oven fries 1.81 kg,American Oven,Fries,1.81 kg,0
832,amstel premium lager 650ml bottle,amstel premium lager 650ml bottle,Yes,https://d1ralsognjng37.cloudfront.net/d2820969-2d1d-474f-bc7d-5ab32e404683.jpeg,,,amstel premium lager beer 650 ml,Amstel,Premium lager beer,650 ml,0
904,andrex classic 4 roll,andr ex classic 4 roll,No,,,,andrex classic 4 roll,Andrex,Classic clean toilet tissue,4 units,0
904,andrex classic 4 roll,andrex classic clean toilet tissue 4 roll,No,https://tb-static.uber.com/prod/image-proc/processed_images/b5b01727620b2caaa1de324558c8a33e/859baff1d76042a45e319d1de80aec7a.jpeg,,,andrex classic 4 roll,Andrex,Classic clean toilet tissue,4 units,0
904,andrex classic 4 roll,andrex classic clean x2 roll,No,https://d1ralsognjng37.cloudfront.net/025a0dbc-4f55-42a8-8b2c-14bb04399f1f.jpeg,,,andrex classic 4 roll,Andrex,Classic clean toilet tissue,4 units,0
904,andrex classic 4 roll,andrex classic clean x9 roll,No,https://d1ralsognjng37.cloudfront.net/a1b8287c-3463-4136-9362-2692fb726cda.jpeg,,,andrex classic 4 roll,Andrex,Classic clean toilet tissue,4 units,0
904,andrex classic 4 roll,andrexx classic clean toilet roll 2 roll,No,,,,andrex classic 4 roll,Andrex,Classic clean toilet tissue,4 units,0
904,andrex classic 4 roll,andrexx classic clean toilet tissue 4 roll,No,,,,andrex classic 4 roll,Andrex,Classic clean toilet tissue,4 units,0
904,andrex classic 4 roll,andrx classic clean 2 roll,No,https://d1ralsognjng37.cloudfront.net/c8dde212-1874-463f-8050-0b746179d2bc.jpeg,,,andrex classic 4 roll,Andrex,Classic clean toilet tissue,4 units,0
904,andrex classic 4 roll,andrx classic clean 4 roll,No,https://d1ralsognjng37.cloudfront.net/c8d70612-e4c9-4c24-a942-bc4c8b7750b7.jpeg,,,andrex classic 4 roll,Andrex,Classic clean toilet tissue,4 units,0
891,andrex toilet paper classic clean 4pk,andrex toilet paper classic clean 4pk,Yes,,,,andrex classic clean toilet 4 units,Andrex,Classic clean toilet tissue,4 units,0
905,andrx classic clean toilet roll,andrx classic clean toilet roll,Yes,https://d1ralsognjng37.cloudfront.net/1133d8e7-8cb6-4ea1-a8bc-1c436d9171ba.jpeg,,,andrex classic clean toilet 4 units,Andrex,Classic clean toilet tissue,4 units,0
910,andx 4pk toilet tissue,andx 4pk toilet tissue,Yes,https://d1ralsognjng37.cloudfront.net/cfcdbb41-9802-41c4-89fb-d70b200fe755.jpeg,,,andrex classic clean toilet 4 units,Andrex,Classic clean toilet tissue,4 units,0
920,animal bar milk chocolate bar 19g,animal bar milk chocolate bar 19g,Yes,https://d1ralsognjng37.cloudfront.net/8bce0efa-b752-4627-a7f0-4464228848b8.jpeg,,,animal bar milk chocolate bar 19 g,Animal Bar,Milk chocolate,19 g,0
7755,apple blackcurrent squash,coop apple blackcurrant squash,No,https://d1ralsognjng37.cloudfront.net/023fe833-2ee9-471e-b1dc-69e6f6bc9fe9.jpeg,,,apple blackcurrent squash,Co-op,Apple & blackcurrant splash,750 ml,0
8680,ariel all in 1 pods,ariel all in 1 pod 12w,No,https://d1ralsognjng37.cloudfront.net/3b415676-fdf2-4f99-87f2-1180f9625c74.jpeg,,,ariel all in 1 pods,Ariel,All in 1 pods,1 unit,0
8680,ariel all in 1 pods,ariel all in 1 pod 15w,No,https://tb-static.uber.com/prod/image-proc/processed_images/35626bd8c2fd43d9c0f1c87419343786/859baff1d76042a45e319d1de80aec7a.jpeg,,,ariel all in 1 pods,Ariel,All in 1 pods,1 unit,0
8680,ariel all in 1 pods,bold all in 1 pod 12w,No,https://d1ralsognjng37.cloudfront.net/682c7d29-e5a9-4294-b203-c3e4bbebe357.jpeg,,,ariel all in 1 pods,Ariel,All in 1 pods,1 unit,0
8680,ariel all in 1 pods,daz all in 1 pod 12w,No,https://tb-static.uber.com/prod/image-proc/processed_images/6d13a0161feba3d0b5b4b6f07af96e56/859baff1d76042a45e319d1de80aec7a.jpeg,,,ariel all in 1 pods,Ariel,All in 1 pods,1 unit,0
1054,ariel powder original 10 wash,ariel powder original 10 wash,Yes,https://d1ralsognjng37.cloudfront.net/421633df-ee04-47dd-975c-8e2387d92fa8.jpeg,,,ariel all in 1 pods,Ariel,All in 1 pods,1 unit,0
1100,arla cravendale semi skimmed 2l,arla cravendale semi skimmed 2l,Yes,https://d1ralsognjng37.cloudfront.net/7b2bf325-08e2-4538-9ba2-62d5d85db9a2.jpeg,,,arla cravendale semi skimmed milk 2 L,Arla,Cravendale semi skimmed milk,2 L,0
1101,arla cravendale whole 2l,arla cravendale whole 2l,Yes,https://d1ralsognjng37.cloudfront.net/13715b1f-f5be-49da-b2fd-a2e0d4a0b014.jpeg,,,arla cravendale whole milk 2 L,Arla,Cravendale whole milk,2 L,0
1106,arla lacto free semi skimmed milk 1 litre,arla lacto free semi skimmed milk 1 litre,Yes,,,,arla lacto free semi skimmed milk 1 L,Arla,Lacto free semi skimmed milk,1 L,0
1117,aroma blue 4 pack,aroma blue 4 pack,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/313331a1f1d7d4807a2fdf8c1f07366b/859baff1d76042a45e319d1de80aec7a.jpeg,,,aroma soft blue bathroom tissue 4 units,Aroma,Soft blue bathroom tissue,4 units,0
1119,aroma scented 4 roll,aroma scented 4 roll,Yes,https://d1ralsognjng37.cloudfront.net/d07febb4-b9b7-41ef-a08a-1295469ef74f.jpeg,,,aroma soft blue bathroom tissue 4 units,Aroma,Soft blue bathroom tissue,4 units,0
1120,aroma white 4 pack,aroma white 4 pack,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/770b056cf620339673a45269463212ca/859baff1d76042a45e319d1de80aec7a.jpeg,,,aroma soft white bathroom tissue 4 units,Aroma,Soft white bathroom tissue,4 units,0
1121,aroma x4 roll,aroma x4 roll,Yes,https://d1ralsognjng37.cloudfront.net/63ddc629-0879-4336-b083-9dfaf77de323.jpeg,,,aroma soft white bathroom tissue 4 units,Aroma,Soft white bathroom tissue,4 units,0
1130,asahi 620ml,asahi 620ml,Yes,https://d1ralsognjng37.cloudfront.net/00df4609-88e5-4188-a1df-c9c43f963e03.jpeg,,,asahi super dry premium lager 620 ml,Asahi,Super dry premium lager,620 ml,0
1135,asahi large bottle,asahi large bottle,Yes,,,,asahi super dry premium lager 633 ml,Asahi,Super dry premium lager,633 ml ,0
1140,asahi super dry 4pk 4330ml,asahi super dry 4pk 4330ml,Yes,https://d1ralsognjng37.cloudfront.net/2771af02-5004-434f-a088-1cc93820acfa.jpeg,,,asahi super dry premium lager 4 x 330 ml,Asahi,Super dry premium lager,4 x 330 ml,0
1162,aspall premium cider 6.8 %,aspall premium cider 6.8 %,Yes,,,,aspall premium cyder,Aspall,Premium cyder,500 ml,0
1164,aspall suffolk draught cider 500ml,aspall suffolk draught cider 500ml,Yes,,,,aspall draught cyder 500 ml,Aspall,Draught cyder,500 ml,0
1165,aspall suffolk premier cru cyder 500ml,aspall premier cru cyder 500 ml,Yes,https://d1ralsognjng37.cloudfront.net/d2237156-c4d5-40fc-a910-d2e0689e0fa0.jpeg,,,aspall premier cru cyder 500 ml,Aspall,Premier cru cyder,500 ml,0
1165,aspall suffolk premier cru cyder 500ml,aspall premier cru cyder 500ml,Yes,,,,aspall premier cru cyder 500 ml,Aspall,Premier cru cyder,500 ml,0
1165,aspall suffolk premier cru cyder 500ml,aspall suffolk premier cru cyder 500ml,Yes,,,,aspall premier cru cyder 500 ml,Aspall,Premier cru cyder,500 ml,0
1178,attack a snak ham wrap,attack a snak ham wrap,Yes,,,,attack a snack ham 'n cheese wrap kit 99 g,Attack a Snack ,Ham 'n cheese wrap kit,99 g,0
1237,aunt bessies apple pie 550g,aunt bessies apple pie 550g,Yes,https://d1ralsognjng37.cloudfront.net/c17ffd81-f500-470f-97aa-ea2923ccce97.jpeg,,,aunt bessies apple pie 500 g,Aunt Bessies,Apple pie,550 g,0
1274,aunty sticky toffee pudding 2pk,aunty sticky toffee pudding 2pk,Yes,https://d1ralsognjng37.cloudfront.net/abad9289-a429-4b90-a428-5dfe55b39f78.jpeg,,,aunty's sticky toffee steamed puds 2 units,Aunty's,Sticky toffee steamed puds,2 units,0
1279,avant natural mineral water sportscap 500ml,avant natural mineral water sportscap 500ml,Yes,https://d1ralsognjng37.cloudfront.net/08e1546e-67d1-40e6-9b42-9a70bc978026.jpeg,,,avant natural mineral water 500 ml ,Avant,Natural mineral water,500 ml,0
1286,avocado each,avacado each,No,https://d1ralsognjng37.cloudfront.net/609d4fb6-806f-4a2b-aec9-e17aede334c6.jpeg,,,avocado 1 unit,,Avocado,1 unit,0
1296,b and h k blue benson blue 20 benson hedge,b and h k blue benson blue 20 benson hedge,Yes,,,,benson & hedges blue cigarettes 20 units,Benson & Hedges,Blue cigarettes,20 units,0
1299,b h blue king size pack of 20,b h blue king size pack of 20,Yes,,,,benson & hedges blue king size cigarettes 20 units,Benson & Hedges,Blue king size cigarettes,20 units,0
1304,b h k duel 20,b h k blue 20,Yes,,,,benson & hedges dual cigarettes 20 units,Benson & Hedges,Dual cigarettes,20 units,0
1304,b h k duel 20,b h k duel 20,Yes,,,,benson & hedges dual cigarettes 20 units,Benson & Hedges,Dual cigarettes,20 units,0
1315,b h sk sky blue tt,b h k blue tt,Yes,,,,benson & hedges sky blue cigarettes 20 units,Benson & Hedges,Sky blue cigarettes,20 units,0
1315,b h sk sky blue tt,b h k sky blue tt,Yes,,,,benson & hedges sky blue cigarettes 20 units,Benson & Hedges,Sky blue cigarettes,20 units,0
1315,b h sk sky blue tt,b h sk blue tt,Yes,,,,benson & hedges sky blue cigarettes 20 units,Benson & Hedges,Sky blue cigarettes,20 units,0
1315,b h sk sky blue tt,b h sk sky blue tt,Yes,,,,benson & hedges sky blue cigarettes 20 units,Benson & Hedges,Sky blue cigarettes,20 units,0
1350,bacardi carta blanca 37.5 % dst 70cl,bacardi carta blanca 37.5 % 70cl,Yes,https://d1ralsognjng37.cloudfront.net/172ae43c-6b6e-41b9-8108-4a2ff5916fee.jpeg,,,bacardi carta blanca white rum 700 ml,Bacardi,Carta blanca white rum,700 ml,0
1350,bacardi carta blanca 37.5 % dst 70cl,bacardi carta blanca 37.5 % dst 70cl,Yes,https://d1ralsognjng37.cloudfront.net/6a716ed8-8aa7-41d0-9ef1-cf3fd42262a3.jpeg,,,bacardi carta blanca white rum 700 ml,Bacardi,Carta blanca white rum,700 ml,0
1409,bacon panini,bacon panini,Yes,https://d1ralsognjng37.cloudfront.net/68425b08-1c0f-4c9e-b023-c7cd94ecc978.jpeg,,,bacon panini 1 unit,,Bacon panini,1 unit,0
1413,bacon sandwich xl,bacon sandwich xl,Yes,https://d1ralsognjng37.cloudfront.net/b23ca677-ff2a-487f-98a4-3713a7eb7f27.jpeg,,,bacon sandwich XL 1 unit,,Bacon sandwich XL ,1 unit,0
5422,bahlsen choco leibniz milk 125 g,bahlsen choco leibniz biscuit milk 125g,No,,,,bahlsen leibniz milk chocolate 125 g,Bahlsen,Leibniz milk chocolate,125 g,0
5422,bahlsen choco leibniz milk 125 g,bahlsen choco leibniz dark chocolate biscuit 125g pm,No,https://d1ralsognjng37.cloudfront.net/cfe6950a-8215-4909-a65f-d2c2fb652031.jpeg,,,bahlsen leibniz milk chocolate 125 g,Bahlsen,Leibniz milk chocolate,125 g,0
5422,bahlsen choco leibniz milk 125 g,bahlsen milk chocolate leibniz biscuit 125g pm,No,https://d1ralsognjng37.cloudfront.net/67705f6b-7cbb-4898-afe8-0e9a573b283b.jpeg,,,bahlsen leibniz milk chocolate 125 g,Bahlsen,Leibniz milk chocolate,125 g,0
5422,bahlsen choco leibniz milk 125 g,choco leibniz milk chocolate biscuit 125g,No,,,,bahlsen leibniz milk chocolate 125 g,Bahlsen,Leibniz milk chocolate,125 g,0
1443,bahlsen choco leibniz milk chocolate,bahlsen choco leibniz milk chocolate,Yes,https://d1ralsognjng37.cloudfront.net/f287f012-6764-433c-9087-1f79d998849a.jpeg,,,bahlsen leibniz milk chocolate 1 unit,Bahlsen,Leibniz milk chocolate,1 unit,0
1451,bahlsen pick up milk chocolate 5 x 28 g,bahlsen pick up milk chocolate 4 x 28g,No,https://tb-static.uber.com/prod/image-proc/processed_images/a85080d5b8e0164805be42c893bac25a/b4facf495c22df52f3ca635379ebe613.jpeg,,,bahlsen pick up! milk chocolate 4 x 28 g,Bahlsen,Pick Up! milk chocolate,4 x 28 g,0
1486,baker boy 2 double chocolate chip 2 chocolate chip muffin,baker boy 2 double choc chip 2 choc chip muffin,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/9505c8ecbcf81f10991357a0ee1beae0/859baff1d76042a45e319d1de80aec7a.jpeg,,,baker boy double chocolate chip muffins 2 units,Baker Boy,Double chocolate chip muffins,2 units,0
1486,baker boy 2 double chocolate chip 2 chocolate chip muffin,baker boy 2 double chocolate chip 2 chocolate chip muffin,Yes,https://d1ralsognjng37.cloudfront.net/d1f5715c-7016-45a1-bbc3-023ca927dbf8.jpeg,,,baker boy double chocolate chip muffins 2 units,Baker Boy,Double chocolate chip muffins,2 units,0
1666,banana pack of 6,banana pack of 6,Yes,https://d1ralsognjng37.cloudfront.net/88bdf85a-5c5b-4033-9c4a-305cd3ae5202.jpeg,,,Banana 6 units,,Banana,6 units,0
1828,barr red cola 2ltr bottle,barr red cola 2ltr bottle,Yes,,,,barr red kola 2 L,Barr,Red Kola,2 L ,0
1849,barratt colabottles,barratt colabottles,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/6184bb69d0e5a91ea6bf6109dedbf14b/859baff1d76042a45e319d1de80aec7a.jpeg,,,barratt cola bottles 160 g,Barratt,Cola Bottles,160 g,0
1850,barratt dip dab,barratt dip dab,Yes,https://d1ralsognjng37.cloudfront.net/6dd93d6b-9f8e-4669-9d12-e3d6e343e274.jpeg,,,barratt dip dab 23 g,Barratt,Dip Dab,23 g,0
1857,barratt giant strawberry,barratt giant strawberry,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/999b6b0999a34ff4676bdcb190e47121/859baff1d76042a45e319d1de80aec7a.jpeg,,,barratt giant strawberries 160 g,Barratt,Giant strawberries,160 g,0
1865,barratt shrimp and banana,barratt shrimp and banana,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/f9072248a5fd604a8fe1fb7a86015b8d/859baff1d76042a45e319d1de80aec7a.jpeg,,,barratt shrimps & bananas 220 g,Barratt,Shrimps & bananas,220 g,0
1890,bassetts wine gum 190g,bassetts wine gum 190g,Yes,https://d1ralsognjng37.cloudfront.net/ee5fefe6-1b53-49c8-979c-70bbf8866fd4.jpeg,,,maynard bassetts wine gums 190 g,Maynard Bassetts,Wine gums,190 g,0
1966,batchelors super noodle cup chicken,batchelors super noodle chicken,No,https://d1ralsognjng37.cloudfront.net/e058e4f4-0090-49bb-9033-888008c118c1.jpeg,,,batchelors super noodles chicken flavour 90 g,Batchelors,Super noodles chicken flavour,90 g ,0
1966,batchelors super noodle cup chicken,batchelors super rice chicken,No,https://tb-static.uber.com/prod/image-proc/processed_images/6c084afba6df864d1ea83575cad46155/859baff1d76042a45e319d1de80aec7a.jpeg,,,batchelors super rice chicken flavour 1 unit,Batchelors,Super rice chicken flavour ,1 unit,0
2019,beck 4pk 4x440ml,beck 4pk 4x440ml,Yes,https://d1ralsognjng37.cloudfront.net/7065ce4d-1236-4d43-bcaa-289f2cfe1081.jpeg,,,beck beer 4 x 440 ml ,Beck,Beer,4 x 440 ml ,0
2174,ben jerry cookie dough ice cream,ben jerry cookie dough ice cream,Yes,https://d1ralsognjng37.cloudfront.net/1df33289-b3db-4237-8a7e-d0525885c364.jpeg,,,ben & jerry's cookie dough ice cream 1 unit,Ben & Jerry's,Cookie dough ice cream,1 unit,0
2214,ben shaw bitter shandy 330ml,ben shaw bitter shandy 330ml,Yes,https://d1ralsognjng37.cloudfront.net/2b77e72f-90e7-4874-b603-aa81c2c85eb8.jpeg,,,ben shaws bitter shandy 330 ml,Ben Shaws,Bitter shandy,330 ml,0
2216,ben shaw cream soda 330ml,ben shaw cream soda 330ml,Yes,https://d1ralsognjng37.cloudfront.net/ef7b41d2-d458-4847-9145-dc6c8a4c438a.jpeg,,,ben shaws cream soda 330 ml,Ben Shaws,Cream soda,330 ml,0
2217,ben shaw dandelion and burdock 330 ml,ben shaw dandelion burdock 330ml,No,https://d1ralsognjng37.cloudfront.net/cf3dc661-161d-4f05-be90-6b7ad5495061.jpeg,,,ben shaws dandelion and burdock 330 ml,Ben Shaws,Dandelion Burdock,330 ml,0
2279,benson & hedges k dual tt 20 units,benson hedge blue 20 cigarette,No,,,,Benson & Hedges Dual cigarettes 20 units,Benson & Hedges,Dual cigarettes,20 units,0
2279,benson & hedges k dual tt 20 units,benson hedge blue 20 king size,No,,,,Benson & Hedges Dual cigarettes 20 units,Benson & Hedges,Dual cigarettes,20 units,0
2279,benson & hedges k dual tt 20 units,benson hedge blue k 20,No,,,,Benson & Hedges Dual cigarettes 20 units,Benson & Hedges,Dual cigarettes,20 units,0
2279,benson & hedges k dual tt 20 units,benson hedge blue king size x20,No,,,,Benson & Hedges Dual cigarettes 20 units,Benson & Hedges,Dual cigarettes,20 units,0
2279,benson & hedges k dual tt 20 units,benson hedge blue superkings x20,No,,,,Benson & Hedges Dual cigarettes 20 units,Benson & Hedges,Dual cigarettes,20 units,0
2279,benson & hedges k dual tt 20 units,benson hedge gold 20 king size,No,,,,Benson & Hedges Dual cigarettes 20 units,Benson & Hedges,Dual cigarettes,20 units,0
2279,benson & hedges k dual tt 20 units,benson hedge king size blue 20 cigarette,No,,,,Benson & Hedges Dual cigarettes 20 units,Benson & Hedges,Dual cigarettes,20 units,0
2279,benson & hedges k dual tt 20 units,benson hedge king size gold 20 cigarette,No,,,,Benson & Hedges Dual cigarettes 20 units,Benson & Hedges,Dual cigarettes,20 units,0
2279,benson & hedges k dual tt 20 units,benson hedge sky blue king size 20 cigarette,No,,,,Benson & Hedges Dual cigarettes 20 units,Benson & Hedges,Dual cigarettes,20 units,0
2279,benson & hedges k dual tt 20 units,benson hedge superking blue 20 cigarette,No,,,,Benson & Hedges Dual cigarettes 20 units,Benson & Hedges,Dual cigarettes,20 units,0
2256,benson hedge k new dual benson new dual 20,benson hedge k new dual benson new dual 20,Yes,,,,Benson & Hedges Dual cigarettes 20 units,Benson & Hedges,Dual cigarettes,20 units,0
2273,benson hedge sk blue,benson hedge blue k tt,No,,,,Benson & Hedges Sky blue cigarettes 20 units,Benson & Hedges,Sky blue cigarettes,20 units,0
2273,benson hedge sk blue,benson hedge sky blue k tt,No,,,,Benson & Hedges Sky blue cigarettes 20 units,Benson & Hedges,Sky blue cigarettes,20 units,0
2442,benson sky blue superkings 20 units,b and h blue kingsize 20c,No,,,,Benson & Hedges Blue superkings cigarettes 20 units,Benson & Hedges,Blue superkings cigarettes,20 units,0
2442,benson sky blue superkings 20 units,b and h blue superkings 20c,No,,,,Benson & Hedges Blue superkings cigarettes 20 units,Benson & Hedges,Blue superkings cigarettes,20 units,0
2442,benson sky blue superkings 20 units,bh blue superkings 20c,No,,,,Benson & Hedges Blue superkings cigarettes 20 units,Benson & Hedges,Blue superkings cigarettes,20 units,0
2442,benson sky blue superkings 20 units,bh sky blue superkings 20c,No,,,,Benson & Hedges Blue superkings cigarettes 20 units,Benson & Hedges,Blue superkings cigarettes,20 units,0
