group_id,leader,member,modify_leader,image_url,label,canonical leader ,brand,name,package ,Promotion
30,1 smirnoff vodka 750 ml evervess club soda 2 l 5 limn mesino f4 16890,1 smirnoff vodka 750 ml evervess club soda 2 l 5 limn mesino f4 16890,Yes,,TRUE,Smirnoff Pack vodka + club soda limón Evervess Botella 750 ml + botella 2 L,Smirnoff,Pack vodka + club soda limón Evervess,Botella 750 ml + botella 2 L,1
31,1 smirnoff vodka 750 ml h2oh toronja rosa 2l gratis f10,1 smirnoff vodka 750 ml h2oh toronja rosa 2l gratis f10,Yes,,TRUE,Smirnoff Pack vodka + H2oh toronja rosa Botella 750 ml + botella 2 L,Smirnoff,Pack vodka + H2oh toronja rosa,Botella 750 ml + botella 2 L,1
32,1 snchez caf capuccino 8 oz ammm cinnamon roll 25 % desc f4,1 snchez caf capuccino 8 oz ammm cinnamon roll 25 % desc f4,Yes,,TRUE,Sánchez Pack café cacpuccino + rollo de cannela Ammm ,Sánchez,Pack café cacpuccino + rollo de cannela Ammm,,
33,1 spoon queque melocotn 600 g jack barquillo vainilla 68 g do p helado crema 499 g f4 13760,1 spoon queque melocotn 600 g jack barquillo vainilla 68 g do p helado crema 499 g f4 13760,Yes,,TRUE,Spoon Pack queque melocotón + barquillo vainilla 600 g + 68 g,Spoon,Pack queque melocotón + barquillo vainilla,600 g + 68 g,1
34,1 t blanco arndanos cero 2.5 l picaronas chile 150 g gratis f4 13953,1 t blanco arndanos cero 2.5 l picaronas chile 150 g gratis f4 13953,Yes,,TRUE,Tropical Pack té blanco arándanos cero + Picaronas chile Botella 2.5 L + 150 g,Tropical,Pack té blanco arándanos cero + Picaronas chile,Botella 2.5 L + 150 g,1
35,1 t melocotn cero 2.5 l picaronas chile 150 g gratis f4 13953,1 t melocotn cero 2.5 l picaronas chile 150 g gratis f4 13953,Yes,,TRUE,Tropical Té melocotón cero + Picaronas chile Botella 2.5 L + 150 g,Tropical,Té melocotón cero + Picaronas chile,Botella 2.5 L + 150 g,1
36,1 tanqueray london dry gin 375 ml agua quinada 600 ml gratis f10,1 tanqueray london dry gin 375 ml agua quinada 600 ml gratis f10,Yes,,TRUE,Tanqueray Pack ginebra london dry + agua quina Botella 375 ml + botella 600 ml,Tanqueray,Pack ginebra london dry + agua quina,Botella 375 ml + botella 600 ml,1
37,1 tropical te blanco frutas cero 2.5 l jack palitrokes oliva ajonjol 200 g f4 16861,1 tropical te blanco frutas cero 2.5 l jack palitrokes oliva ajonjol 200 g f4 16861,Yes,,TRUE,Tropical Pack té blanco frutas cero + palitrokes oliva ajonjolí Jack's Botella 2.5 L + 200 g,Tropical,Pack té blanco frutas cero + palitrokes oliva ajonjolí Jack's,Botella 2.5 L + 200 g,1
38,1 vodka nikolai 750 ml mix de snack am g f4 16589,1 vodka nikolai 750 ml mix de snack am g f4 16589,Yes,,TRUE,Nikolai Pack vodka + snacks mixtos Ammm Botella 750 ml,Nikolai,Pack vodka + snacks mixtos Ammm,Botella 750 ml,
39,10 % desc 1 absolut vodka 750 ml,10 % desc 1 absolut vodka 750 ml,Yes,,TRUE,Absolut Vodka Botella 750 ml,Absolut,Vodka,Botella 750 ml,
40,10 % desc 1 durex invisible cj 3 und,10 % desc 1 durex invisible cj 3 und,Yes,,TRUE,Durex Condones invisible Caja 3 unid,Durex,Condones invisible,Caja 3 unid,
41,10 % desc 1 lysol desinfectante spray crisp lin 354 ml,10 % desc 1 lysol desinfectante spray crisp lin 354 ml,Yes,,TRUE,Lysol Desinfectante crisp linen Aerosol 354 ml,Lysol,Desinfectante crisp linen,Aerosol 354 ml,
42,10 % desc 1 nikolai vodka 750 ml,10 % desc 1 nikolai vodka 750 ml,Yes,,TRUE,Nikolai Vodka Botella 750 ml,Nikolai,Vodka,Botella 750 ml,
43,10 % desc 1 pabst cerveza lt 355ml 12 pck,10 % desc 1 pabst cerveza lt 355ml 12 pck,Yes,,TRUE,Pabst Cerveza 12 x 355 ml,Pabst,Cerveza,12 x 355 ml,
44,10 % desc 2 carta blanca cerveza lata 473 ml,10 % desc 2 carta blanca cerveza lata 473 ml,Yes,,TRUE,Carta Blanca Cerveza 2 x 473 ml,Carta Blanca,Cerveza,2 x 473 ml,
45,10 % desc 2 powerade zero fruit punch b 591m,10 % desc 2 powerade zero fruit punch b 591m,Yes,,TRUE,Powerade Bebida rehidratante fruit punch zero 2 x 591 ml,Powerade,Bebida rehidratante fruit punch zero,2 x 591 ml,
46,10 % desc 2 powerade zero grape 591ml bt,10 % desc 2 powerade zero grape 591ml bt,Yes,,TRUE,Powerade Bebida rehidratante grape zero 2 x 591 ml,Powerade,Bebida rehidratante grape zero,2 x 591 ml,
47,10 % desc 2 powerade zero mix berry 591 bt,10 % desc 2 powerade zero mix berry 591 bt,Yes,,TRUE,Powerade Bebida rehidratante mix berry zero 2 x 591 ml,Powerade,Bebida rehidratante mix berry zero,2 x 591 ml,
48,10 % desc 2 tropical te frio con limn 2.5l,10 % desc 2 tropical te frio con limn 2.5l,Yes,,TRUE,Tropical Té frío con limón 2 x 2.5 L,Tropical,Té frío con limón,2 x 2.5 L,
49,10 % desc 2 tropical te verde manzana 2.5 l,10 % desc 2 tropical te verde manzana 2.5 l,Yes,,TRUE,Tropical Té verde manzana 2 x 2.5 L,Tropical,Té verde manzana,2 x 2.5 L,
50,10 % desc 3 coca cola desechable 355 ml,10 % desc 3 coca cola desechable 355 ml,Yes,,TRUE,Coca-Cola Soda original 2 x 355 ml,Coca-Cola,Soda original,2 x 355 ml,
51,10 hollandia cerveza lt 330 ml 50 % desc,10 hollandia cerveza 330 ml lata 28 % desc,Yes,,FALSE,Hollandia Cerveza 10 x 330 ml,Hollandia,Cerveza,10 x 330 ml,
51,10 hollandia cerveza lt 330 ml 50 % desc,10 hollandia cerveza 330 ml lata 28 % desc f10,Yes,,FALSE,Hollandia Cerveza 10 x 330 ml,Hollandia,Cerveza,10 x 330 ml,
51,10 hollandia cerveza lt 330 ml 50 % desc,10 hollandia cerveza lt 330 ml 28 % desc,Yes,,FALSE,Hollandia Cerveza 10 x 330 ml,Hollandia,Cerveza,10 x 330 ml,
51,10 hollandia cerveza lt 330 ml 50 % desc,10 hollandia cerveza lt 330 ml 30 % desc,Yes,,FALSE,Hollandia Cerveza 10 x 330 ml,Hollandia,Cerveza,10 x 330 ml,
51,10 hollandia cerveza lt 330 ml 50 % desc,10 hollandia cerveza lt 330 ml 40 % desc,Yes,,FALSE,Hollandia Cerveza 10 x 330 ml,Hollandia,Cerveza,10 x 330 ml,
51,10 hollandia cerveza lt 330 ml 50 % desc,10 hollandia cerveza lt 330 ml 50 % desc,Yes,,TRUE,Hollandia Cerveza Lata 33 ml,Hollandia,Cerveza,Lata 33 ml,
53,11 % desc 2 canada dry ginger ale 2 lt,11 % desc 2 canada dry ginger ale 2 lt,Yes,,TRUE,Canada Dry Ginger ale 2 x 2 L,Canada Dry,Ginger ale,2 x 2 L,
54,11 % desc 2 coca cola 3 lts desechable,11 % desc 2 coca cola 3 lts desechable,Yes,,TRUE,Coca-Cola Soda original 2 x 3 L,Coca-Cola,Soda original,2 x 3 L,
55,11 % desc 2 coca cola light 600 ml,11 % desc 2 coca cola light 600 ml,Yes,,TRUE,Coca-Cola Soda light 2 x 600 ml,Coca-Cola,Soda light,2 x 600 ml,
56,11 % desc 2 fanta kolita 3l,11 % desc 2 fanta kolita 3l,Yes,,TRUE,Fanta kolita 2 x 3 L,Fanta,kolita,2 x 3 L,
57,11 % desc 2 fanta naranja 3l desechable,11 % desc 2 fanta kolita 3l desechable,Yes,,FALSE,Fanta Soda kolita 2 x 3 L,Fanta,Soda kolita,2 x 3 L,
57,11 % desc 2 fanta naranja 3l desechable,11 % desc 2 fanta naranja 355 ml,Yes,,FALSE,Fanta Soda naranja 2 x 355 ml,Fanta,Soda naranja,2 x 355 ml,
57,11 % desc 2 fanta naranja 3l desechable,11 % desc 2 fanta naranja 3l,Yes,,FALSE,Fanta Soda naranja 2 x 3 L,Fanta,Soda naranja,2 x 3 L,
57,11 % desc 2 fanta naranja 3l desechable,11 % desc 2 fanta naranja 3l desechable,Yes,,TRUE,Fanta Soda naranja 2 x 3 L,Fanta,Soda naranja,2 x 3 L,
58,11 % desc 2 fresca 3 litros desechable,11 % desc 2 fresca 3 litros desechable,Yes,,TRUE,Fresca Soda toronja 2 x 3 L,Fresca,Soda toronja,2 x 3 L,
59,11 % desc 2 ginger ale 355 ml,11 % desc 2 ginger ale 355 ml,Yes,,TRUE, Ginger ale 2 x 355 ml,,Ginger ale,2 x 355 ml,
60,12 % desc 2 fuze te verde limn zero 2.5l,12 % desc 2 fuze te verde limn zero 2.5l,Yes,,TRUE,Fuze Té verde limón zero 2 x 2.5 L,Fuze,Té verde limón zero,2 x 2.5 L,
61,12 % desc 2 fuze te zero mango manza 2.5 l,12 % desc 2 fuze te zero mango manza 2.5 l,Yes,,TRUE,Fuze Té mango manzana zero 2 x 2.5 L,Fuze,Té mango manzana zero,2 x 2.5 L,
62,12 % desc 2 gatorade naran zero 591 ml,12 % desc 2 gatorade naran zero 591 ml,Yes,,TRUE,Gatorade Bebida rehidratante naranja zero 2 x 591 ml,Gatorade,Bebida rehidratante naranja zero,2 x 591 ml,
63,12 % desc 2 pepsi black 600 ml,12 % desc 2 pepsi black 600 ml,Yes,,TRUE,Pepsi Soda black 2 x 600 ml,Pepsi,Soda black,2 x 600 ml,
64,12 % desc 2 san telmo malbec 750 ml,12 % desc 2 san telmo malbec 750 ml,Yes,,TRUE,San Telmo Vino tinto malbec 2 x 750 ml,San Telmo,Vino tinto malbec,2 x 750 ml,
65,12 pack imperial lata 350 ml 12 jack picarona familiar queso 150 g f4 16816,12 pack imperial lata 350 ml 12 jack picarona familiar queso 150 g f4 16816,Yes,,TRUE,Imperial Pack cerveza + picaronas queso familiar Jack's 12 x 350 ml + bolsa 150 g,Imperial,Pack cerveza + picaronas queso familiar Jack's,12 x 350 ml + bolsa 150 g,1
67,12 pack imperial lata 350 ml evervess ginger ale 2 l gratis f10,12 pack imperial lata 350 ml evervess ginger ale 2 l gratis f10,Yes,,TRUE,Imperial Pack cerveza + ginger ale Evervess 12 x 350 ml + bolsa 150 g,Imperial,Pack cerveza + ginger ale Evervess,12 x 350 ml + bolsa 150 g,1
68,12 pack imperial light lt 350 ml palitrokes do quesos 200 g gratis plu 17174,12 pack imperial light lt 350 ml palitrokes do quesos 200 g gratis plu 17174,Yes,,TRUE,Imperial Pack cerveza light + palitrokes queso 12 x 350 ml + bolsa 200 g,Imperial,Pack cerveza light + palitrokes queso,12 x 350 ml + bolsa 200 g,1
69,12 pack imperial silver 350 ml 15 % desc f10,12 pack imperial lata 350 ml 15 % desc f10,Yes,,FALSE,Imperial Cerveza 12 x 350 ml,Imperial,Cerveza,12 x 350 ml,
69,12 pack imperial silver 350 ml 15 % desc f10,12 pack imperial silver 350 ml 15 % desc f10,Yes,,TRUE,Imperial Cerveza silver 12 x 30 ml,Imperial,Cerveza silver,12 x 30 ml,
70,12 pack imperial silver 350 ml jack picaritas 150 g gratis f10,12 pack imperial silver 350 ml jack picaritas 150 g gratis f10,Yes,,TRUE,Imperial Pack cerveza silver + picaritas Jack's 12 x 350 ml + bolsa 150 g,Imperial,Pack cerveza silver + picaritas Jack's,12 x 350 ml + bolsa 150 g,1
71,12 pack pilsen lata 350 ml chorizo cerdo hierbas 300 g plu 17172,12 pack pilsen lata 350 ml chorizo cerdo hierbas 300 g plu 17172,Yes,,TRUE,Pilsen Pack cerveza + chorizo de cerdo hierbas 12 x 350 ml + 300 g,Pilsen,Pack cerveza + chorizo de cerdo hierbas,12 x 350 ml + 300 g,1
72,12 pack pilsen lata 350 ml jack picaronas con chile 150 g f4 16750,12 pack pilsen lata 350 ml jack picarona con chile 150 g f4 16750,Yes,,FALSE,Pilsen Pack cerveza + picaronas chile 12 x 350 ml + 150 g,Pilsen,Pack cerveza + picaronas chile,12 x 350 ml + 150 g,1
72,12 pack pilsen lata 350 ml jack picaronas con chile 150 g f4 16750,12 pack pilsen lata 350 ml jack picaronas con chile 150 g f4,Yes,,FALSE,Pilsen Pack cerveza + picaronas chile ,Pilsen,Pack cerveza + picaronas chile,,
72,12 pack pilsen lata 350 ml jack picaronas con chile 150 g f4 16750,12 pack pilsen lata 350 ml jack picaronas con chile 150 g f4 16750,Yes,,TRUE,Pilsen Pack cerveza + picaronas chile Jack's 12 x 350 ml + bolsa 150 g,Pilsen,Pack cerveza + picaronas chile Jack's,12 x 350 ml + bolsa 150 g,1
73,12 pack pilsen lata 350 ml kern salsa bbq pilsen 510 g gratis plu 17183,12 pack pilsen lata 350 ml kern salsa bbq pilsen 510 g gratis plu 17183,Yes,,TRUE,Pilsen Pack cerveza + salsa bbq Kerns 12 x 350 ml + 510 g,Pilsen,Pack cerveza + salsa bbq Kerns,12 x 350 ml + 510 g,1
74,12 pack pilsen lata 350 ml soldanza snack party mix 180 g gratis f10,12 pack pilsen lata 350 ml soldanza snack party mix 180 g gratis f10,Yes,,TRUE,Pilsen Pack cerveza + snack party mix Soldanza 12 x 350 ml + 180 g,Pilsen,Pack cerveza + snack party mix Soldanza,12 x 350 ml + 180 g,1
75,13 % desc 1 flor de caa gran reserva 750 ml,13 % desc 1 flor de caa gran reserva 750 ml,Yes,,TRUE,Flor de Caña Ron gran reserva Botella 750 ml,Flor de Caña,Ron gran reserva,Botella 750 ml,
76,13 % desc 2 clos de pirque vino tinto caja 1l,13 % desc 2 clos de pirque vino blco caja 1l,Yes,,FALSE,Clos de Pirque Vinto tinto 2 x 1 L,Clos de Pirque,Vinto tinto,2 x 1 L,
76,13 % desc 2 clos de pirque vino tinto caja 1l,13 % desc 2 clos de pirque vino tinto caja 1l,Yes,,TRUE,Clos de Pirque Vino tinto 2 x 1 L,Clos de Pirque,Vino tinto,2 x 1 L,
77,13 % desc 2 ginger ale desechable 355 ml,13 % desc 2 ginger ale desechable 355 ml,Yes,,TRUE, Ginger ale 2 x 355 ml,,Ginger ale,2 x 355 ml,
78,14 % desc 2 gatorade ponche frutas 600 ml,14 % desc 2 gatorade ponche frutas 600 ml,Yes,,TRUE,Gatorade Bebida rehidratante ponche de frutas 2 x 600 ml,Gatorade,Bebida rehidratante ponche de frutas,2 x 600 ml,
80,14 % desc 2 snapple half n half diet 473 ml,14 % desc 2 snapple half n half diet 473 ml,Yes,,TRUE,Snapple Té helado haf n half diet 2 x 473 ml,Snapple,Té helado haf n half diet,2 x 473 ml,
81,14 % desc 2 snapple jugo kiwi fresa 473 ml,14 % desc 2 snapple jugo kiwi fresa 473 ml,Yes,,TRUE,Snapple Té helado kiwi fresa 2 x 473 ml,Snapple,Té helado kiwi fresa,2 x 473 ml,
82,14 % desc 2 snapple peach te 473 ml,14 % desc 2 snapple diet peach tea 473 ml,Yes,,FALSE,Snapple Té durazno dieta 2 x 473 ml,Snapple,Té durazno dieta,2 x 473 ml,
82,14 % desc 2 snapple peach te 473 ml,14 % desc 2 snapple peach te 473 ml,Yes,,TRUE,Snapple Té helado peach 2 x 473 ml,Snapple,Té helado peach,2 x 473 ml,
83,14 % desc 2 snapple pink lemonade te 473 ml,14 % desc 2 snapple pink lemonade te 473 ml,Yes,,TRUE,Snapple Té helado pink lemonade 2 x 473 ml,Snapple,Té helado pink lemonade,2 x 473 ml,
84,15 % desc 1 badia ajo en polvo 2 oz 56 g,15 % desc 1 badia ajo en polvo 2 oz 56 g,Yes,,TRUE,Badia Ajo en polvo 56 g,Badia,Ajo en polvo,56 g,
85,15 % desc 1 badia pimienta negra molida 2oz 57g,15 % desc 1 badia pimienta negra molida 2oz 57g,Yes,,TRUE,Badia Pimienta negra molida 57 g,Badia,Pimienta negra molida,57 g,
86,15 % desc 1 centenario ron 7aos 750ml bot,15 % desc 1 centenario ron 7 aos 750 ml,Yes,,FALSE,Centenario Ron 7 años Botella 750 ml,Centenario,Ron 7 años,Botella 750 ml,
86,15 % desc 1 centenario ron 7aos 750ml bot,15 % desc 1 centenario ron 7aos 750ml bot,Yes,,TRUE,Centenario Ron 7 años Botella 750 ml,Centenario,Ron 7 años,Botella 750 ml,
87,15 % desc 1 centenario ron oro 375 ml,15 % desc 1 centenario ron oro 375 ml,Yes,,TRUE,Centenario Ron oro Botella 375 ml,Centenario,Ron oro,Botella 375 ml,
88,15 % desc 1 dp te verde bot pet inm.2.5l,15 % desc 1 dp te verde bot pet inm.2.5l,Yes,,TRUE,DP Té verde Botella 2.5 L,DP,Té verde,Botella 2.5 L,
89,15 % desc 1 four loko blue lt 473ml lt,15 % desc 1 four loko blue lt 473ml lt,Yes,,TRUE,Four Loko Bebida alcohólica preparada blue Lata 473 ml,Four Loko,Bebida alcohólica preparada blue,Lata 473 ml,
90,15 % desc 1 huggies n.c. paal xg4 16 uds,15 % desc 1 huggies n.c. paal g3 19 uds,Yes,,FALSE,Huggies Pañal g3 19 unid,Huggies,Pañal g3,19 unid,
90,15 % desc 1 huggies n.c. paal xg4 16 uds,15 % desc 1 huggies n.c. paal m2 22 uds,Yes,,FALSE,Huggies Pañal m2 22 unid,Huggies,Pañal m2,22 unid,
90,15 % desc 1 huggies n.c. paal xg4 16 uds,15 % desc 1 huggies n.c. paal xg4 16 uds,Yes,,TRUE,Huggies Pañal xg4 16 unid,Huggies,Pañal xg4,16 unid,
91,15 % desc 1 huggies sham ext.suav bt 200m,15 % desc 1 huggies sham ext.suav bt 200m,Yes,,TRUE,Huggies Shampoo extra suave Botella 200 ml,Huggies,Shampoo extra suave,Botella 200 ml,
92,15 % desc 1 huggies shampoo manzanilla 200 ml,15 % desc 1 huggies sham manzanil bt 200m,Yes,,FALSE,Huggies Shampoo manzanilla Botella 200 ml,Huggies,Shampoo manzanilla,Botella 200 ml,
92,15 % desc 1 huggies shampoo manzanilla 200 ml,15 % desc 1 huggies shampoo manzanilla 200 ml,Yes,,TRUE,Huggies Shampoo manzanilla Botella 200 ml,Huggies,Shampoo manzanilla,Botella 200 ml,
93,15 % desc 1 huggies toallitas aloe 80 uds,15 % desc 1 huggies toallitas aloe 80 uds,Yes,,TRUE,Huggies Toallitas aloe vera 80 unid,Huggies,Toallitas aloe vera,80 unid,
